TYPEID;GROUPID;TYPENAME;MASS;VOLUME
5599;763;Type-D Altered SS Nanofiber Structure;100;5
5601;763;Mark I Modified SS Nanofiber Structure;100;5
5611;764;Partial Hull Conversion Overdrive Injector;50;5
5613;764;Alpha Hull Mod Overdrive Injector;50;5
5615;764;Type-E Altered SS Overdrive Injector;50;5
5617;764;Marked Modified SS Overdrive Injector;50;5
5627;764;Local Hull Conversion Overdrive Injector I;50;5
5629;764;Beta Hull Mod Overdrive Injector;50;5
5631;764;Type-D Altered SS Overdrive Injector;50;5
5633;764;Mark I Modified SS Overdrive Injector;50;5
5643;78;Local Hull Conversion Reinforced Bulkheads I;200;5
5645;78;Beta Hull Mod Reinforced Bulkheads;200;5
5647;78;Type-D Altered SS Reinforced Bulkheads;200;5
5649;78;Mark I Modified SS Reinforced Bulkheads;200;5
5675;78;Partial Hull Conversion Reinforced Bulkheads;200;5
5677;78;Alpha Hull Mod Reinforced Bulkheads;200;5
5679;78;Type-E Altered SS Reinforced Bulkheads;200;5
5681;78;Marked Modified SS Reinforced Bulkheads;200;5
5683;63;Medium Inefficient Hull Repair Unit;1000;10
5693;63;Small Inefficient Hull Repair Unit;1000;5
5697;63;Large Inefficient Hull Repair Unit;1000;50
5719;63;Medium 'Hope' Hull Reconstructor I;1000;10
5721;63;Medium Automated Structural Restoration;1000;10
5723;63;Medium I-b Polarized Structural Regenerator;1000;10
5743;63;Small 'Hope' Hull Reconstructor I;1000;5
5745;63;Small Automated Structural Restoration;1000;5
5747;63;Small I-b Polarized Structural Regenerator;1000;5
5755;63;Large 'Hope' Hull Reconstructor I;1000;50
5757;63;Large Automated Structural Restoration;1000;50
5759;63;Large I-b Polarized Structural Regenerator;1000;50
5829;60;GLFF Containment Field;5000;5
5831;60;Interior Force Field Array;5000;5
5833;60;Systematic Damage Control;5000;5
5835;60;F84 Local Damage System;5000;5
5837;60;Pseudoelectron Containment Field I;5000;5
5839;60;Internal Force Field Array I;5000;5
5841;60;Emergency Damage Control I;5000;5
5843;60;F85 Peripheral Damage System I;5000;5
5845;205;Heat Exhaust System;1;5
5846;205;Thermal Exhaust System I;1;5
5849;205;Extruded Heat Sink I;1;5
5854;205;Stamped Heat Sink;1;5
5855;205;'Boreas' Coolant System;1;5
5856;205;C3S Convection Thermal Radiator;1;5
5857;205;'Skadi' Coolant System I;1;5
5858;205;C4S Coiled Circuit Thermal Radiator;1;5
5865;82;Indirect Target Acquisition I;2000;5
5867;82;Passive Targeting Array I;2000;5
5869;82;Suppressed Targeting System I;2000;5
5871;82;41F Veiled Targeting Unit;2000;5
5913;59;Hydraulic Stabilization Actuator;0;5
5915;59;Lateral Gyrostabilizer;0;5
5917;59;Stabilized Weapon Mounts;0;5
5919;59;F-M2 Weapon Inertial Suspensor;0;5
5929;59;Pneumatic Stabilization Actuator I;0;5
5931;59;Cross-Lateral Gyrostabilizer I;0;5
5933;59;Counterbalanced Weapon Mounts I;0;5
5935;59;F-M3 Munition Inertial Suspensor;0;5
5945;46;Prototype 100MN Microwarpdrive I;0;10
5955;46;Experimental 100MN Afterburner I;0;5
5971;46;Upgraded 1MN Microwarpdrive I;0;10
5973;46;Limited 1MN Microwarpdrive I;0;10
5975;46;Experimental 10MN Microwarpdrive I;0;10
6001;46;Limited 1MN Afterburner I;0;5
6003;46;Experimental 1MN Afterburner I;0;5
6005;46;Experimental 10MN Afterburner I;0;5
6041;96;Hostile Target Acquisition I;30;5
6043;96;'Recusant' Hostile Targeting Array I;30;5
6045;96;Responsive Auto-Targeting System I;30;5
6047;96;Automated Targeting Unit I;30;5
6073;61;Medium Ld-Acid Capacitor Battery I;0;10
6083;61;Medium Peroxide Capacitor Power Cell;0;10
6097;61;Medium Ohm Capacitor Reserve I;0;10
6111;61;Medium F-4a Ld-Sulfate Capacitor Charge Unit;0;10
6129;47;Surface Cargo Scanner I;0;5
6131;47;Prototype Freight Sensors;0;5
6133;47;Interior Type-E Cargo Identifier;0;5
6135;47;PL-0 Shipment Probe;0;5
6157;212;Supplemental Scanning CPU I;0;5
6158;212;Prototype Sensor Booster;0;5
6159;212;Alumel-Wired Sensor Augmentation;0;5
6160;212;F-90 Positional Sensor Subroutines;0;5
6173;213;Optical Tracking Computer I;0;5
6174;213;Monopulse Tracking Mechanism I;0;5
6175;213;'Orion' Tracking CPU I;0;5
6176;213;F-12 Nonlinear Tracking Processor;0;5
6193;203;Emergency Magnetometric Scanners;0;5
6194;203;Emergency Multi-Frequency Scanners;0;5
6195;203;Reserve Gravimetric Scanners;0;5
6199;203;Reserve LADAR Scanners;0;5
6202;203;Emergency RADAR Scanners;0;5
6203;203;Reserve Magnetometric Scanners;0;5
6207;203;Reserve Multi-Frequency Scanners;0;20
6212;203;Reserve RADAR Scanners;0;5
6216;203;Emergency LADAR Scanners;0;5
6217;203;Emergency Gravimetric Scanners;0;5
6218;203;Protected Gravimetric Backup Cluster I;0;5
6222;203;Protected LADAR Backup Cluster I;0;5
6225;203;Sealed RADAR Backup Cluster;0;5
6226;203;Protected Magnetometric Backup Cluster I;0;5
6230;203;Protected Multi-Frequency Backup Cluster I;0;20
6234;203;Protected RADAR Backup Cluster I;0;5
6238;203;Sealed Magnetometric Backup Cluster;0;5
6239;203;Sealed Multi-Frequency Backup Cluster;0;5
6241;203;Sealed LADAR Backup Cluster;0;5
6242;203;Sealed Gravimetric Backup Cluster;0;5
6243;203;Surrogate Gravimetric Reserve Array I;0;5
6244;203;F-43 Repetitive Gravimetric Backup Sensors;0;5
6251;203;Surrogate LADAR Reserve Array I;0;5
6252;203;F-43 Repetitive LADAR Backup Sensors;0;5
6257;203;Surplus RADAR Reserve Array;0;5
6258;203;F-42 Reiterative RADAR Backup Sensors;0;5
6259;203;Surrogate Magnetometric Reserve Array I;0;5
6260;203;F-43 Repetitive Magnetometric Backup Sensors;0;5
6267;203;Surrogate Multi-Frequency Reserve Array I;0;20
6268;203;F-43 Repetitive Multi-Frequency Backup Sensors;0;20
6275;203;Surrogate RADAR Reserve Array I;0;5
6276;203;F-43 Repetitive RADAR Backup Sensors;0;5
6283;203;Surplus Magnetometric Reserve Array;0;5
6284;203;F-42 Reiterative Magnetometric Backup Sensors;0;5
6285;203;Surplus Multi-Frequency Reserve Array;0;5
6286;203;F-42 Reiterative Multi-Frequency Backup Sensors;0;5
6289;203;Surplus LADAR Reserve Array;0;5
6290;203;F-42 Reiterative LADAR Backup Sensors;0;5
6291;203;Surplus Gravimetric Reserve Array;0;5
6292;203;F-42 Reiterative Gravimetric Backup Sensors;0;5
6293;210;Wavelength Signal Enhancer I;0;5
6294;210;'Mendicant' Signal Booster I;0;5
6295;210;Type-D Attenuation Signal Augmentation;0;5
6296;210;F-89 Synchronized Signal Amplifier;0;5
6309;210;Amplitude Signal Enhancer;0;5
6310;210;'Acolyth' Signal Booster;0;5
6311;210;Type-E Discriminative Signal Augmentation;0;5
6312;210;F-90 Positional Signal Amplifier;0;5
6321;211;Beam Parallax Tracking Program;10;5
6322;211;Beta-Nought Tracking Mode;10;5
6323;211;Azimuth Descalloping Tracking Enhancer;10;5
6324;211;F-AQ Delay-Line Scan Tracking Subroutines;10;5
6325;211;Fourier Transform Tracking Program;20;5
6326;211;Sigma-Nought Tracking Mode I;20;5
6327;211;Auto-Gain Control Tracking Enhancer I;20;5
6328;211;F-aQ Phase Code Tracking Subroutines;20;5
6437;40;Small C5-L Emergency Shield Overload I;0;5
6439;40;Small Neutron Saturation Injector I;0;5
6441;40;Small Clarity Ward Booster I;0;5
6443;40;Small Converse Deflection Catalyzer;0;5
6485;39;M51 Iterative Shield Regenerator;0;5
6487;39;Supplemental Screen Generator I;0;5
6489;39;'Benefactor' Ward Reconstructor;0;5
6491;39;Passive Barrier Compensator I;0;5
6525;48;Ta3 Perfunctory Vessel Probe;0;5
6527;48;Rudimentary Ship Scanner I;0;5
6529;48;Speculative Ship Identifier I;0;5
6531;48;Practical Type-E Ship Probe;0;5
6567;49;ML-3 Amphilotite Mining Probe;0;5
6569;49;Residual Survey Scanner I;0;5
6571;49;Rock-Scanning Sensor Array I;0;5
6573;49;'Dactyl' Type-E Asteroid Analyzer;0;5
6631;53;Dual Modal Light Laser I;500;5
6633;53;Dual Afocal Light Maser I;500;5
6635;53;Dual Modulated Light Energy Beam I;500;5
6637;53;Dual Anode Light Particle Stream I;500;5
6671;53;Small Focused Modal Pulse Laser I;500;5
6673;53;Small Focused Afocal Pulse Maser I;500;5
6675;53;Small Focused Modulated Pulse Energy Beam I;500;5
6677;53;Small Focused Anode Pulse Particle Stream I;500;5
6715;53;Small Focused Modal Laser I;500;5
6717;53;Small Focused Afocal Maser I;500;5
6719;53;Small Focused Modulated Energy Beam I;500;5
6721;53;Small Focused Anode Particle Stream I;500;5
6757;53;Quad Modal Light Laser I;1000;10
6759;53;Quad Afocal Light Maser I;1000;10
6761;53;Quad Modulated Light Energy Beam I;1000;10
6763;53;Quad Anode Light Particle Stream I;1000;10
6805;53;Focused Modal Pulse Laser I;1000;10
6807;53;Focused Afocal Pulse Maser I;1000;10
6809;53;Focused Modulated Pulse Energy Beam I;1000;10
6811;53;Focused Anode Pulse Particle Stream I;1000;10
6859;53;Focused Modal Medium Laser I;1000;10
6861;53;Focused Afocal Medium Maser I;1000;10
6863;53;Focused Modulated Medium Energy Beam I;1000;10
6865;53;Focused Anode Medium Particle Stream I;1000;10
6919;53;Heavy Modal Pulse Laser I;1000;10
6921;53;Heavy Afocal Pulse Maser I;1000;10
6923;53;Heavy Modulated Pulse Energy Beam I;1000;10
6925;53;Heavy Anode Pulse Particle Stream I;1000;10
6959;53;Heavy Modal Laser I;1000;10
6961;53;Heavy Afocal Maser I;1000;10
6963;53;Heavy Modulated Energy Beam I;1000;10
6965;53;Heavy Anode Particle Stream I;1000;10
6999;53;Dual Heavy Modal Pulse Laser I;2000;20
7001;53;Dual Heavy Afocal Pulse Maser I;2000;20
7003;53;Dual Heavy Modulated Pulse Energy Beam I;2000;20
7005;53;Dual Heavy Anode Pulse Particle Stream I;2000;20
7043;53;Dual Modal Heavy Laser I;2000;20
7045;53;Dual Afocal Heavy Maser I;2000;20
7047;53;Dual Modulated Heavy Energy Beam I;2000;20
7049;53;Dual Anode Heavy Particle Stream I;2000;20
7083;53;Mega Modal Pulse Laser I;2000;20
7085;53;Mega Afocal Pulse Maser I;2000;20
7087;53;Mega Modulated Pulse Energy Beam I;2000;20
7089;53;Mega Anode Pulse Particle Stream I;2000;20
7123;53;Mega Modal Laser I;2000;20
7125;53;Mega Afocal Maser I;2000;20
7127;53;Mega Modulated Energy Beam I;2000;20
7131;53;Mega Anode Particle Stream I;2000;20
7167;53;Tachyon Modal Laser I;2000;20
7169;53;Tachyon Afocal Maser I;2000;20
7171;53;Tachyon Modulated Energy Beam I;2000;20
7173;53;Tachyon Anode Particle Stream I;2000;20
7217;289;Spot Pulsing ECCM I;0;5
7218;289;Piercing ECCM Emitter I;0;5
7219;289;Scattering ECCM Projector I;0;5
7220;289;Phased Muon ECCM Caster I;0;5
7247;74;75mm Prototype Gauss Gun;500;5
7249;74;75mm 'Scout' Accelerator Cannon;500;5
7251;74;75mm Carbide Railgun I;500;5
7253;74;75mm Compressed Coil Gun I;500;5
7287;74;150mm Prototype Gauss Gun;500;5
7289;74;150mm 'Scout' Accelerator Cannon;500;5
7291;74;150mm Carbide Railgun I;500;5
7293;74;150mm Compressed Coil Gun I;500;5
7327;74;Dual 150mm Prototype Gauss Gun;1000;10
7329;74;Dual 150mm 'Scout' Accelerator Cannon;1000;10
7331;74;Dual 150mm Carbide Railgun I;1000;10
7333;74;Dual 150mm Compressed Coil Gun I;1000;10
7367;74;250mm Prototype Gauss Gun;1000;10
7369;74;250mm 'Scout' Accelerator Cannon;1000;10
7371;74;250mm Carbide Railgun I;1000;10
7373;74;250mm Compressed Coil Gun I;1000;10
7407;74;Dual 250mm Prototype Gauss Gun;2000;20
7409;74;Dual 250mm 'Scout' Accelerator Cannon;2000;20
7411;74;Dual 250mm Carbide Railgun I;2000;20
7413;74;Dual 250mm Compressed Coil Gun I;2000;20
7447;74;425mm Prototype Gauss Gun;2000;20
7449;74;425mm 'Scout' Accelerator Cannon;2000;20
7451;74;425mm Carbide Railgun I;2000;20
7453;74;425mm Compressed Coil Gun I;2000;20
7487;74;Modal Light Electron Particle Accelerator I;500;5
7489;74;Limited Light Electron Blaster I;500;5
7491;74;Regulated Light Electron Phase Cannon I;500;5
7493;74;Anode Light Electron Particle Cannon I;500;5
7535;74;Modal Light Ion Particle Accelerator I;500;5
7537;74;Limited Light Ion Blaster I;500;5
7539;74;Regulated Light Ion Phase Cannon I;500;5
7541;74;Anode Light Ion Particle Cannon I;500;5
7579;74;Modal Light Neutron Particle Accelerator I;500;5
7581;74;Limited Light Neutron Blaster I;500;5
7583;74;Regulated Light Neutron Phase Cannon I;500;5
7585;74;Anode Light Neutron Particle Cannon I;500;5
7619;74;Modal Electron Particle Accelerator I;1000;10
7621;74;Limited Electron Blaster I;1000;10
7623;74;Regulated Electron Phase Cannon I;1000;10
7625;74;Anode Electron Particle Cannon I;1000;10
7663;74;Modal Ion Particle Accelerator I;1000;10
7665;74;Limited Ion Blaster I;1000;10
7667;74;Regulated Ion Phase Cannon I;1000;10
7669;74;Anode Ion Particle Cannon I;1000;10
7703;74;Modal Neutron Particle Accelerator I;1000;10
7705;74;Limited Neutron Blaster I;1000;10
7707;74;Regulated Neutron Phase Cannon I;1000;10
7709;74;Anode Neutron Particle Cannon I;1000;10
7743;74;Modal Mega Electron Particle Accelerator I;2000;20
7745;74;Limited Electron Blaster Cannon I;2000;20
7747;74;Regulated Mega Electron Phase Cannon I;2000;20
7749;74;Anode Mega Electron Particle Cannon I;2000;20
7783;74;Modal Mega Neutron Particle Accelerator I;2000;20
7785;74;Limited Mega Neutron Blaster I;2000;20
7787;74;Regulated Mega Neutron Phase Cannon I;1000;20
7789;74;Anode Mega Neutron Particle Cannon I;2000;20
7827;74;Modal Mega Ion Particle Accelerator I;2000;20
7829;74;Limited Mega Ion Blaster I;2000;20
7831;74;Regulated Mega Ion Phase Cannon I;2000;20
7833;74;Anode Mega Ion Particle Cannon I;2000;20
7867;202;Supplemental Ladar ECCM Scanning Array I;0;5
7869;202;Supplemental Gravimetric ECCM Scanning Array I;0;5
7870;202;Supplemental Omni ECCM Scanning Array I;0;5
7887;202;Supplemental Radar ECCM Scanning Array I;0;5
7889;202;Supplemental Magnetometric ECCM Scanning Array I;0;5
7892;202;Prototype ECCM Radar Sensor Cluster;0;5
7893;202;Prototype ECCM Ladar Sensor Cluster;0;5
7895;202;Prototype ECCM Gravimetric Sensor Cluster;0;5
7896;202;Prototype ECCM Omni Sensor Cluster;0;5
7914;202;Prototype ECCM Magnetometric Sensor Cluster;0;5
7917;202;Alumel Radar ECCM Sensor Array I;0;5
7918;202;Alumel Ladar ECCM Sensor Array I;0;5
7922;202;Alumel Gravimetric ECCM Sensor Array I;0;5
7926;202;Alumel Omni ECCM Sensor Array I;0;5
7937;202;Alumel Magnetometric ECCM Sensor Array I;0;5
7948;202;Gravimetric Positional ECCM Sensor System I;0;5
7964;202;Radar Positional ECCM Sensor System I;0;5
7965;202;Omni Positional ECCM Sensor System I;0;5
7966;202;Ladar Positional ECCM Sensor System I;0;5
7970;202;Magnetometric Positional ECCM Sensor System I;0;5
7993;509;Experimental TE-2100 Light Missile Launcher;0;5
7997;510;XR-3200 Heavy Missile Bay;0;10
8001;508;Experimental ZW-4100 Torpedo Launcher;0;20
8007;511;Experimental SV-2000 Rapid Light Missile Launcher;0;10
8023;511;Upgraded 'Malkuth' Rapid Light Missile Launcher;0;10
8025;511;Limited 'Limos' Rapid Light Missile Launcher;0;10
8027;511;Prototype 'Arbalest' Rapid Light Missile Launcher;0;10
8089;509;Upgraded 'Malkuth' Light Missile Launcher;0;5
8091;509;Limited 'Limos' Light Missile Launcher;0;5
8093;509;Prototype 'Arbalest' Light Missile Launcher;0;5
8101;510;'Malkuth' Heavy Missile Launcher I;0;10
8103;510;Advanced 'Limos' Heavy Missile Bay I;0;10
8105;510;'Arbalest' Heavy Missile Launcher;0;10
8113;508;Upgraded 'Malkuth' Torpedo Launcher;0;20
8115;508;Limited 'Limos' Torpedo Launcher;0;20
8117;508;Prototype 'Arbalest' Torpedo Launcher;0;20
8131;768;Local Power Plant Manager: Capacitor Flux I;20;5
8133;768;Beta Reactor Control: Capacitor Flux I;20;5
8135;768;Type-D Power Core Modification: Capacitor Flux;20;5
8137;768;Mark I Generator Refitting: Capacitor Flux;20;5
8163;768;Partial Power Plant Manager: Capacitor Flux;20;5
8165;768;Alpha Reactor Control: Capacitor Flux;20;5
8167;768;Type-E Power Core Modification: Capacitor Flux;20;5
8169;768;Marked Generator Refitting: Capacitor Flux;20;5
8171;767;Local Power Plant Manager: Capacity Power Relay I;20;5
8173;767;Beta Reactor Control: Capacitor Power Relay I;20;5
8175;767;Type-D Power Core Modification: Capacitor Power Relay;20;5
8177;767;Mark I Generator Refitting: Capacitor Power Relay;20;5
8203;767;Partial Power Plant Manager: Capacity Power Relay;20;5
8205;767;Alpha Reactor Control: Capacitor Power Relay;20;5
8207;767;Type-E Power Core Modification: Capacitor Power Relay;20;5
8209;767;Marked Generator Refitting: Capacitor Power Relay;20;5
8211;766;Partial Power Plant Manager: Diagnostic System;20;5
8213;766;Alpha Reactor Control: Diagnostic System;20;5
8215;766;Type-E Power Core Modification: Diagnostic System;20;5
8217;766;Marked Generator Refitting: Diagnostic System;20;5
8219;766;Local Power Plant Manager: Diagnostic System I;20;5
8221;766;Beta Reactor Control: Diagnostic System I;20;5
8223;766;Type-D Power Core Modification: Diagnostic System;20;5
8225;766;Mark I Generator Refitting: Diagnostic System;20;5
8251;769;Partial Power Plant Manager: Reaction Control;20;5
8253;769;Alpha Reactor Control: Reaction Control;20;5
8255;766;Type-E Power Core Modification: Reaction Control;20;5
8257;769;Marked Generator Refitting: Reaction Control;20;5
8259;769;Local Power Plant Manager: Reaction Control I;20;5
8261;769;Beta Reactor Control: Reaction Control I;20;5
8263;769;Type-D Power Core Modification: Reaction Control;20;5
8265;769;Mark I Generator Refitting: Reaction Control;20;5
8291;770;Local Power Plant Manager: Reaction Shield Flux I;20;5
8293;770;Beta Reactor Control: Shield Flux I;20;5
8295;770;Type-D Power Core Modification: Shield Flux;20;5
8297;770;Mark I Generator Refitting: Shield Flux;20;5
8323;770;Partial Power Plant Manager: Shield Flux;20;5
8325;770;Alpha Reactor Shield Flux;20;5
8327;770;Type-E Power Core Modification: Shield Flux;20;5
8329;770;Marked Generator Refitting: Shield Flux;20;5
8331;57;Local Power Plant Manager: Reaction Shield Power Relay I;20;5
8333;57;Beta Reactor Control: Shield Power Relay I;20;5
8335;57;Type-D Power Core Modification: Shield Power Relay;20;5
8337;57;Mark I Generator Refitting: Shield Power Relay;20;5
8339;57;Partial Power Plant Manager: Shield Power Relay;20;5
8341;57;Alpha Reactor Shield Power Relay;20;5
8343;57;Type-E Power Core Modification: Shield Power Relay;20;5
8345;57;Marked Generator Refitting: Shield Power Relay;20;5
8387;38;Micro Subordinate Screen Stabilizer I;0;2,5
8397;38;Medium Subordinate Screen Stabilizer I;0;10
8401;38;Small Subordinate Screen Stabilizer I;0;5
8409;38;Large Subordinate Screen Stabilizer I;0;20
8419;38;Large Azeotropic Ward Salubrity I;0;20
8427;38;Small Azeotropic Ward Salubrity I;0;5
8433;38;Medium Azeotropic Ward Salubrity I;0;10
8437;38;Micro Azeotropic Ward Salubrity I;0;2,5
8465;38;Micro Supplemental Barrier Emitter I;0;2,5
8477;38;Medium Supplemental Barrier Emitter I;0;10
8481;38;Small Supplemental Barrier Emitter I;0;5
8489;38;Large Supplemental Barrier Emitter I;0;20
8505;38;Micro F-S9 Regolith Shield Induction;0;2,5
8517;38;Medium F-S9 Regolith Shield Induction;0;10
8521;38;Small F-S9 Regolith Shield Induction;0;5
8529;38;Large F-S9 Regolith Shield Induction;0;20
8531;41;Small Murky Remote Shield Booster;0;5
8533;41;Small 'Atonement' Remote Shield Booster;0;5
8535;41;Small Asymmetric Remote Shield Booster;0;5
8537;41;Small S95a Remote Shield Booster;0;5
8579;41;Medium Murky Remote Shield Booster;0;10
8581;41;Medium 'Atonement' Remote Shield Booster;0;10
8583;41;Medium Asymmetric Remote Shield Booster;0;10
8585;41;Medium S95a Remote Shield Booster;0;10
8627;41;Micro Murky Remote Shield Booster;0;2,5
8629;41;Micro 'Atonement' Remote Shield Booster;0;2,5
8631;41;Micro Asymmetric Remote Shield Booster;0;2,5
8633;41;Micro S95a Remote Shield Booster;0;2,5
8635;41;Large Murky Remote Shield Booster;0;25
8637;41;Large 'Atonement' Remote Shield Booster;0;25
8639;41;Large Asymmetric Remote Shield Booster;0;25
8641;41;Large S95a Remote Shield Booster;0;25
8683;41;X-Large Murky Remote Shield Booster;0;50
8685;41;X-Large 'Atonement' Remote Shield Booster;0;50
8687;41;X-Large Asymmetric Remote Shield Booster;0;50
8689;41;X-Large S95a Remote Shield Booster;0;50
8743;285;Nanomechanical CPU Enhancer;0;5
8744;285;Nanoelectrical Co-Processor;0;5
8745;285;Photonic CPU Enhancer;0;5
8746;285;Quantum Co-Processor;0;5
8747;285;Nanomechanical CPU Enhancer I;0;5
8748;285;Nanoelectrical Co-Processor I;0;5
8749;285;Photonic CPU Enhancer I;0;5
8750;285;Quantum Co-Processor I;0;5
8759;55;125mm Light 'Scout' Autocannon I;500;5
8785;55;125mm Light Carbine Repeating Cannon I;500;5
8787;55;125mm Light Gallium Machine Gun;500;5
8789;55;125mm Light Prototype Automatic Cannon;500;5
8815;55;150mm Light 'Scout' Autocannon I;500;5
8817;55;150mm Light Carbine Repeating Cannon I;500;5
8819;55;150mm Light Gallium Machine Gun;500;5
8821;55;150mm Light Prototype Automatic Cannon;500;5
8863;55;200mm Light 'Scout' Autocannon I;500;5
8865;55;200mm Light Carbine Repeating Cannon I;500;5
8867;55;200mm Light Gallium Machine Gun;500;5
8869;55;200mm Light Prototype Automatic Cannon;500;5
8903;55;250mm Light 'Scout' Artillery I;500;5
8905;55;250mm Light Carbine Howitzer I;500;5
8907;55;250mm Light Gallium Cannon;500;5
8909;55;250mm Light Prototype Siege Cannon;500;5
9071;55;Dual 180mm 'Scout' Autocannon I;12,5;10
9073;55;Dual 180mm Carbine Repeating Cannon I;12,5;10
9091;55;Dual 180mm Gallium Machine Gun;12,5;10
9093;55;Dual 180mm Prototype Automatic Cannon;12,5;10
9127;55;220mm Medium 'Scout' Autocannon I;1000;10
9129;55;220mm Medium Carbine Repeating Cannon I;1000;10
9131;55;220mm Medium Gallium Machine Gun;1000;10
9133;55;220mm Medium Prototype Automatic Cannon;1000;10
9135;55;425mm Medium 'Scout' Autocannon I;1000;10
9137;55;425mm Medium Carbine Repeating Cannon I;1000;10
9139;55;425mm Medium Gallium Machine Gun;1000;10
9141;55;425mm Medium Prototype Automatic Cannon;1000;10
9207;55;650mm Medium 'Scout' Artillery I;125;10
9209;55;650mm Medium Carbine Howitzer I;125;10
9211;55;650mm Medium Gallium Cannon;125;10
9213;55;650mm Medium Prototype Siege Cannon;125;10
9247;55;Dual 425mm 'Scout' Autocannon I;200;20
9249;55;Dual 425mm Carbine Repeating Cannon I;200;20
9251;55;Dual 425mm Gallium Machine Gun;200;20
9253;55;Dual 425mm Prototype Automatic Cannon;200;20
9287;55;Dual 650mm 'Scout' Repeating Artillery I;2000;20
9289;55;Dual 650mm Carbine Repeating Howitzer I;2000;20
9291;55;Dual 650mm Gallium Repeating Cannon;2000;20
9293;55;Dual 650mm Prototype Repeating Siege Cannon;2000;20
9327;55;800mm Heavy 'Scout' Repeating Artillery I;75;20
9329;55;800mm Heavy Carbine Repeating Howitzer I;75;20
9331;55;800mm Heavy Gallium Repeating Cannon;75;20
9333;55;800mm Heavy Prototype Repeating Siege Cannon;75;20
9367;55;1200mm Heavy 'Scout' Artillery I;2000;20
9369;55;1200mm Heavy Carbine Howitzer I;2000;20
9371;55;1200mm Heavy Gallium Cannon;2000;20
9373;55;1200mm Heavy Prototype Artillery;2000;20
9377;55;1200mm Heavy Prototype Siege Cannon;2000;20
9411;55;280mm 'Scout' Artillery I;500;5
9413;55;280mm Carbine Howitzer I;500;5
9415;55;280mm Gallium Cannon;500;5
9417;55;280mm Prototype Siege Cannon;500;5
9419;55;720mm 'Probe' Artillery I;50;10
9421;55;720mm Cordite Howitzer I;50;10
9451;55;720mm 'Scout' Artillery I;50;10
9453;55;720mm Carbine Howitzer I;50;10
9455;55;720mm Gallium Cannon;50;10
9457;55;720mm Prototype Siege Cannon;50;10
9491;55;1400mm 'Scout' Artillery I;2000;20
9493;55;1400mm Carbine Howitzer I;2000;20
9495;55;1400mm Gallium Cannon;2000;20
9497;55;1400mm Prototype Siege Cannon;2000;20
9518;201;Initiated Ion Field ECM I;0;5
9519;201;FZ-3 Subversive Spatial Destabilizer ECM;0;5
9520;201;'Penumbra' White Noise ECM;0;5
9521;201;Initiated Multispectral ECM I;0;5
9522;201;Faint Phase Inversion ECM I;0;5
9556;295;Upgraded Explosive Deflection Amplifier I;0;5
9562;295;Supplemental EM Ward Amplifier;0;5
9566;295;Supplemental Thermic Dissipation Amplifier;0;5
9568;295;Upgraded Thermic Dissipation Amplifier I;0;5
9570;295;Supplemental Kinetic Deflection Amplifier;0;5
9574;295;Supplemental Explosive Deflection Amplifier;0;5
9580;295;Upgraded EM Ward Amplifier I;0;5
9582;295;Upgraded Kinetic Deflection Amplifier I;0;5
9608;77;Limited Kinetic Deflection Field I;10000;5
9622;77;Limited 'Anointed' EM Ward Field;10000;5
9632;77;Limited Adaptive Invulnerability Field I;10000;5
9646;77;Limited Explosive Deflection Field I;10000;5
9660;77;Limited Thermic Dissipation Field I;10000;5
9668;72;Large Rudimentary Concussion Bomb I;100;50
9670;72;Small Rudimentary Concussion Bomb I;10;5
9678;72;Large 'Vehemence' Shockwave Charge;100;50
9680;72;Small 'Vehemence' Shockwave Charge;10;5
9702;72;Micro Rudimentary Concussion Bomb I;100;2,5
9706;72;Micro 'Vehemence' Shockwave Charge;100;2,5
9728;72;Medium Rudimentary Concussion Bomb I;100;10
9734;72;Medium 'Vehemence' Shockwave Charge;100;10
9744;72;Small 'Notos' Explosive Charge I;10;5
9750;72;Micro 'Notos' Explosive Charge I;100;2,5
9762;72;Medium 'Notos' Explosive Charge I;100;10
9772;72;Large 'Notos' Explosive Charge I;100;50
9784;72;Small YF-12a Smartbomb;10;5
9790;72;Micro YF-12a Smartbomb;100;2,5
9800;72;Medium YF-12a Smartbomb;100;10
9808;72;Large YF-12a Smartbomb;100;50
9826;280;Carbon;4400;2
9828;1042;Silicon;0;0,38
9830;1034;Rocket Fuel;0;1,5
9832;1034;Coolant;0;1,5
9834;1040;Guidance Systems;0;6
9836;1034;Consumer Electronics;0;1,5
9838;1034;Superconductors;0;1,5
9840;1034;Transmitter;0;1,5
9842;1034;Miniature Electronics;0;1,5
9844;280;Small Arms;2500;2
9846;1040;Planetary Vehicles;0;6
9848;1040;Robotics;0;6
9850;280;Spirits;2500;0,2
9852;280;Tobacco;2500;0,2
9854;237;Polaris Inspector Frigate;1000000;20400
9856;15;Amarr Class A Starport;0;0
9857;15;Amarr Class B Starport;0;0
9858;237;Polaris Centurion TEST;1000000;20400
9860;237;Polaris Legatus Frigate;1000000;20400
9862;237;Polaris Centurion Frigate;1000000;20400
9866;15;Angel Serpentis;0;0
9867;15;Heaven;0;0
9868;15;Concord Starbase;0;0
9869;298;Loiterer I;100000;60
9871;299;Repair Drone;0;50
9873;15;Dark Amarr Station O;0;0
9874;15;Dark Amarr Station H;0;0
9875;226;Minmatar Trade Station Ruins;0;0
9876;226;Amarr Commercial Station Ruins;0;0
